customer_id,tenure_months,monthly_spend,support_tickets,contract_type,churn
165,40,70.2,3,Monthly,0
166,45,58.7,1,Annual,0
167,53,65.19,1,Annual,1
168,1,77.94,1,Annual,0
169,16,116.74,1,Monthly,0
170,39,109.44,0,Annual,0
171,5,66.93,3,Monthly,0
172,22,81.21,2,Monthly,0
173,29,74.25,2,Annual,1
174,55,82.61,0,Monthly,0
175,3,85.18,3,Monthly,0
176,12,90.55,0,Annual,0
177,26,21.98,3,Monthly,1
178,16,87.33,2,Monthly,0
179,51,72.02,1,Annual,1
180,37,65.9,1,Monthly,0
181,22,95.89,2,Annual,1
182,57,109.34,1,Monthly,0
183,29,93.78,2,Monthly,0
184,14,69.63,3,Annual,0
185,28,58.48,2,Monthly,0
186,5,19.88,0,Monthly,1
187,47,83.65,1,Monthly,0
188,49,91.58,0,Monthly,0
189,30,77.96,3,Monthly,0
190,46,98.67,4,Monthly,0
191,52,53.6,3,Monthly,0
192,5,76.58,0,Monthly,1
193,12,74.99,3,Annual,0
194,16,77.8,2,Annual,0
195,26,103.36,4,Monthly,0
196,26,77.9,1,Monthly,1
197,48,74.1,3,Annual,1
198,21,61.27,1,Monthly,0
199,39,106.57,2,Monthly,0
200,36,51.38,2,Monthly,0
201,33,68.94,2,Annual,1
202,30,113.88,6,Monthly,0
203,37,89.36,1,Monthly,0
204,23,79.6,2,Annual,0
205,58,80.43,2,Annual,0
206,10,61.07,1,Annual,0
207,54,78.63,1,Monthly,0
208,5,73.0,2,Annual,0
209,36,83.59,1,Monthly,0
210,34,49.88,5,Annual,0
211,52,87.96,1,Monthly,0
212,31,100.33,0,Annual,0
213,10,75.92,4,Monthly,1
214,58,92.94,2,Monthly,0
215,19,86.21,2,Monthly,0
216,58,67.85,2,Monthly,0
217,32,58.83,1,Annual,0
218,1,61.63,1,Annual,0
219,56,85.86,3,Annual,0
220,5,78.88,1,Monthly,0
221,45,105.5,0,Monthly,1
222,4,95.82,7,Annual,1
223,16,95.78,2,Annual,0
224,24,85.26,1,Monthly,0
225,16,60.76,2,Monthly,0
226,55,86.51,0,Monthly,0
227,2,81.28,2,Monthly,0
228,49,57.23,3,Monthly,0
229,28,104.2,2,Annual,0
230,32,102.05,1,Monthly,0
231,27,57.12,1,Monthly,0
232,20,67.24,2,Annual,0
233,24,69.0,2,Annual,0
234,12,92.2,5,Annual,0
235,50,89.89,0,Monthly,0
236,35,80.89,2,Monthly,1
237,33,85.48,5,Annual,1
238,33,54.25,4,Monthly,0
239,51,87.63,4,Annual,0
240,43,77.98,2,Monthly,1
241,37,66.42,1,Annual,0
242,12,49.35,0,Monthly,0
243,3,80.54,2,Monthly,0
244,1,87.14,3,Monthly,0
245,33,45.95,3,Annual,0
246,40,80.37,0,Monthly,0
247,10,82.44,4,Monthly,1
248,43,68.92,2,Annual,0
249,44,87.6,4,Monthly,0
250,29,77.35,3,Annual,0
251,13,85.66,0,Annual,0
252,12,90.68,2,Monthly,0
253,31,90.7,1,Monthly,1
254,46,100.34,3,Monthly,0
255,2,86.77,4,Annual,1
256,51,70.46,2,Annual,0
257,50,67.04,2,Annual,1
258,35,58.73,3,Monthly,0
259,23,83.02,3,Monthly,0
260,17,106.43,0,Monthly,0
261,26,72.83,6,Annual,0
262,8,88.99,2,Annual,0
263,29,64.95,4,Annual,0
264,26,83.9,2,Annual,0
265,10,105.19,3,Monthly,0
266,26,93.72,1,Monthly,0
267,34,48.58,5,Monthly,0
268,51,91.41,2,Annual,1
269,41,92.32,2,Monthly,0
270,7,83.47,1,Annual,0
271,4,93.35,0,Annual,0
272,58,63.33,1,Annual,0
273,53,81.27,1,Monthly,0
274,50,102.2,1,Monthly,0
275,45,100.4,2,Annual,1
276,11,90.96,1,Annual,0
277,29,62.34,3,Monthly,0
278,56,59.19,3,Monthly,1
279,36,82.29,3,Monthly,0
280,25,83.62,4,Monthly,0
281,21,77.99,3,Annual,1
282,57,63.9,4,Annual,0
283,36,88.74,1,Monthly,0
284,10,82.2,3,Annual,0
285,37,85.8,3,Monthly,0
286,9,91.87,1,Monthly,0
287,24,74.53,2,Monthly,0
288,35,70.22,3,Annual,0
289,49,102.15,1,Annual,0
290,35,64.85,3,Monthly,0
291,48,70.62,3,Monthly,0
292,36,104.68,1,Monthly,1
293,18,69.06,6,Monthly,0
294,49,78.03,6,Monthly,0
295,39,71.76,1,Monthly,0
296,32,44.34,5,Monthly,0
297,24,77.53,2,Annual,1
298,23,59.79,1,Monthly,0
299,32,85.09,2,Monthly,0
300,37,102.11,0,Monthly,0
301,12,35.72,4,Monthly,0
302,49,71.86,1,Monthly,0
303,55,89.05,1,Annual,0
304,13,36.33,0,Monthly,0
305,23,106.73,1,Monthly,0
306,25,87.6,2,Monthly,0
307,35,101.66,3,Monthly,1
308,41,68.72,2,Monthly,0
309,30,71.13,2,Annual,1
310,17,76.78,2,Monthly,0
311,49,122.76,4,Monthly,1
312,20,106.36,1,Monthly,0
313,48,82.65,2,Annual,0
314,25,85.09,3,Monthly,0
315,22,92.7,2,Monthly,0
316,13,127.83,5,Monthly,0
317,59,87.65,0,Monthly,0
318,19,80.92,5,Monthly,0
319,49,73.23,2,Monthly,0
320,36,84.7,2,Monthly,0
321,12,68.26,1,Monthly,0
322,41,89.92,3,Monthly,0
323,19,51.35,1,Annual,0
324,12,74.79,3,Annual,0
325,9,94.69,3,Annual,1
326,7,87.38,2,Monthly,0
327,28,70.75,3,Annual,1
328,14,75.36,1,Annual,0
329,31,100.71,1,Monthly,0
330,52,55.79,3,Monthly,0
331,19,55.91,2,Monthly,0
332,58,61.41,3,Annual,1
333,47,79.79,3,Monthly,0
334,16,52.87,1,Monthly,0
335,53,99.06,0,Annual,0
336,5,61.51,3,Annual,0
337,35,84.49,1,Monthly,0
338,12,68.42,1,Annual,0
339,25,78.69,1,Monthly,0
340,52,47.93,1,Annual,0
341,59,100.03,3,Monthly,1
342,21,60.77,1,Monthly,0
343,36,58.68,3,Monthly,1
344,53,127.58,6,Annual,0
345,23,91.09,0,Annual,0
346,16,99.25,3,Monthly,0
347,57,89.18,2,Monthly,0
348,39,70.95,1,Monthly,0
349,45,53.86,3,Monthly,0
350,53,74.02,1,Annual,1
351,42,60.44,0,Monthly,0
352,58,61.64,1,Monthly,1
353,39,48.34,6,Annual,0
354,14,82.29,1,Monthly,0
355,31,111.47,4,Monthly,0
356,58,91.16,4,Monthly,0
357,5,77.88,1,Annual,0
358,35,79.19,2,Monthly,1
359,23,19.04,3,Monthly,0
360,29,71.52,1,Monthly,0
361,43,51.47,3,Annual,0
362,11,82.69,3,Annual,0
363,18,74.8,3,Monthly,0
364,47,62.61,1,Annual,0
365,12,82.24,3,Monthly,0
366,9,82.07,4,Monthly,1
367,10,110.37,3,Monthly,1
368,58,93.73,0,Annual,0
369,44,84.34,5,Monthly,0
370,17,61.05,2,Annual,0
371,38,58.53,2,Monthly,0
372,7,91.98,1,Annual,0
373,46,76.0,0,Monthly,0
374,13,84.99,3,Annual,0
375,40,99.56,2,Monthly,0
376,42,49.74,2,Monthly,0
377,9,107.94,4,Monthly,1
378,50,99.39,4,Monthly,0
379,27,38.91,1,Annual,0
380,58,127.06,1,Monthly,0
381,2,86.43,1,Monthly,0
382,5,70.43,0,Monthly,0
383,29,90.38,2,Annual,0
384,37,60.45,2,Monthly,0
385,38,90.92,2,Monthly,1
386,19,64.13,0,Annual,0
387,8,120.41,5,Annual,1
388,48,81.2,0,Annual,0
389,45,93.0,3,Monthly,0
390,1,64.28,0,Monthly,1
391,22,96.33,1,Annual,0
392,52,79.75,0,Annual,0
393,17,51.76,2,Annual,0
394,7,75.22,0,Monthly,0
395,25,118.62,1,Annual,0
396,45,97.18,0,Annual,0
397,4,72.42,1,Annual,0
398,36,42.62,1,Monthly,0
399,6,63.35,3,Monthly,0
400,31,51.87,4,Monthly,1
401,19,43.1,4,Annual,1
402,44,95.71,1,Monthly,0
403,54,81.25,3,Annual,1
404,39,115.9,3,Monthly,0
405,27,60.05,1,Monthly,0
406,10,79.95,0,Monthly,1
407,26,52.12,0,Annual,0
408,19,68.1,1,Annual,0
409,39,75.56,0,Monthly,0
410,3,72.51,2,Monthly,0
411,45,81.07,2,Monthly,1
412,13,99.43,2,Monthly,1
413,50,97.33,3,Monthly,0
414,28,64.61,2,Monthly,0
415,58,79.39,1,Annual,1
416,20,95.88,4,Monthly,0
417,28,100.71,3,Annual,0
418,8,66.78,0,Monthly,0
419,41,94.16,3,Monthly,0
420,39,86.62,2,Annual,1
421,1,58.68,1,Monthly,0
422,3,96.0,1,Monthly,0
423,13,83.03,2,Monthly,0
424,28,45.17,2,Annual,0
425,57,74.12,5,Monthly,0
426,49,80.8,2,Monthly,0
427,25,67.88,3,Annual,0
428,56,104.56,1,Monthly,0
429,33,105.29,4,Monthly,0
430,38,72.35,3,Monthly,0
431,53,70.16,3,Annual,0
432,6,77.38,1,Annual,0
433,58,76.0,3,Annual,1
434,44,68.15,3,Annual,0
435,45,5.82,2,Monthly,0
436,32,115.1,0,Monthly,0
437,45,80.01,1,Annual,0
438,47,76.43,1,Annual,0
439,21,86.5,1,Annual,0
440,16,78.4,0,Annual,0
441,54,71.39,0,Monthly,0
442,21,59.89,1,Monthly,1
443,11,43.23,0,Monthly,1
444,37,52.91,1,Monthly,0
445,36,57.67,3,Monthly,0
446,35,93.02,5,Monthly,1
447,19,94.49,4,Monthly,0
448,20,62.36,2,Monthly,0
449,57,26.73,2,Monthly,0
450,18,80.18,2,Annual,0
451,47,71.57,4,Monthly,0
452,41,71.07,3,Annual,0
453,49,99.12,2,Monthly,1
454,14,82.77,3,Annual,1
455,15,60.47,2,Monthly,0
456,31,55.87,2,Monthly,0
457,1,74.75,3,Annual,0
458,53,61.87,2,Monthly,0
459,54,78.55,2,Annual,0
460,54,100.52,1,Monthly,0
461,3,52.4,1,Monthly,0
462,16,81.76,2,Monthly,0
463,23,98.3,0,Monthly,0
464,57,78.28,0,Monthly,0
465,11,94.43,1,Annual,1
466,12,74.25,2,Annual,0
467,10,83.42,0,Annual,0
468,32,88.82,3,Annual,0
469,16,68.56,1,Monthly,0
470,8,119.81,2,Monthly,0
471,38,91.55,1,Annual,0
472,12,106.06,1,Monthly,0
473,24,101.42,1,Annual,0
474,28,86.55,0,Monthly,1
475,53,107.72,2,Monthly,0
476,8,83.76,2,Monthly,0
477,58,65.4,2,Monthly,0
478,28,80.3,4,Monthly,0
479,36,59.88,1,Monthly,0
480,26,37.97,4,Monthly,0
481,8,62.95,1,Monthly,1
482,58,81.46,4,Monthly,0
483,50,101.24,1,Monthly,0
484,28,62.89,1,Annual,0
485,28,100.2,2,Annual,0
486,37,55.79,3,Annual,1
487,41,61.61,0,Monthly,0
488,36,108.98,1,Monthly,0
489,27,80.95,2,Annual,1
490,54,76.53,1,Monthly,1
491,17,84.71,2,Monthly,0
492,9,55.87,1,Monthly,0
493,33,73.38,3,Annual,1
494,53,80.05,2,Monthly,0
495,20,104.63,1,Monthly,1
496,13,46.59,4,Annual,0
497,28,115.26,0,Monthly,0
498,48,77.51,1,Annual,1
499,29,57.79,3,Monthly,0
500,13,54.17,2,Annual,0
501,46,85.46,3,Annual,0
502,35,53.06,2,Monthly,1
503,6,68.8,0,Monthly,0
504,18,75.0,1,Monthly,1
505,51,102.87,2,Annual,0
506,5,100.37,1,Monthly,1
507,47,67.14,5,Annual,1
508,25,75.75,0,Annual,1
509,2,48.09,0,Monthly,0
510,10,39.22,4,Annual,1
511,56,55.42,1,Monthly,0
512,30,102.46,0,Annual,0
513,50,95.6,4,Monthly,1
514,59,87.67,1,Monthly,0
515,45,50.85,3,Annual,0
516,5,65.77,2,Annual,0
517,55,62.84,1,Annual,0
518,56,76.68,3,Monthly,1
519,33,75.42,0,Annual,0
520,54,59.96,2,Monthly,0
521,1,86.98,1,Monthly,1
522,18,84.58,4,Annual,0
523,32,65.42,1,Annual,0
524,47,86.09,2,Monthly,1
525,49,102.49,1,Annual,0
526,11,108.56,1,Monthly,0
527,21,89.81,2,Monthly,1
528,26,89.23,1,Monthly,1
529,25,75.2,1,Monthly,1
530,22,100.59,4,Annual,0
531,59,58.59,2,Annual,0
532,27,98.28,1,Annual,0
533,49,74.25,4,Annual,0
534,13,109.82,2,Monthly,0
535,33,91.76,2,Annual,0
536,34,78.64,0,Monthly,0
537,41,75.27,2,Monthly,0
538,35,90.51,1,Monthly,1
539,1,89.54,2,Monthly,0
540,21,72.03,4,Annual,0
541,48,81.84,2,Monthly,0
542,55,97.93,0,Monthly,0
543,6,52.73,0,Monthly,0
544,28,94.52,3,Annual,0
545,17,90.42,0,Monthly,0
546,5,103.73,2,Monthly,1
547,31,65.69,2,Monthly,0
548,5,80.11,3,Monthly,0
549,38,84.1,1,Annual,1
550,3,94.78,2,Monthly,0
551,53,88.58,5,Annual,0
552,23,55.21,2,Monthly,0
553,37,85.82,1,Monthly,0
554,53,120.08,0,Annual,0
555,37,92.24,2,Annual,0
556,10,112.76,0,Monthly,0
557,10,100.86,3,Annual,0
558,19,107.25,0,Annual,0
559,17,86.2,4,Monthly,1
560,21,90.44,2,Monthly,0
561,14,85.11,0,Monthly,0
562,9,80.09,3,Annual,1
563,46,94.84,1,Monthly,0
564,1,69.58,5,Monthly,1
565,51,117.71,1,Monthly,0
566,45,61.44,1,Monthly,1
567,13,96.23,2,Monthly,0
568,4,107.57,1,Annual,0
569,1,76.47,2,Annual,0
570,49,57.74,2,Annual,0
571,40,103.11,2,Annual,0
572,32,84.07,2,Monthly,1
573,34,96.27,2,Annual,0
574,28,77.81,9,Monthly,0
575,31,114.64,2,Annual,0
576,8,37.66,1,Annual,0
577,39,87.52,3,Annual,1
578,26,106.83,0,Monthly,0
579,58,82.11,3,Annual,0
580,34,86.05,2,Annual,0
581,54,71.32,1,Monthly,0
582,54,80.41,2,Annual,0
583,3,46.56,3,Annual,0
584,59,65.63,1,Monthly,1
585,50,64.26,1,Monthly,0
586,12,93.38,3,Monthly,0
587,1,68.57,1,Annual,0
588,54,69.15,1,Annual,0
589,44,72.44,2,Monthly,1
590,5,65.03,4,Monthly,1
591,30,85.38,5,Monthly,1
592,30,87.55,0,Annual,1
593,59,96.5,2,Annual,0
594,57,93.06,1,Monthly,0
595,17,91.06,5,Monthly,0
596,48,73.42,3,Monthly,1
597,47,72.14,4,Monthly,1
598,23,62.58,3,Monthly,0
599,15,62.22,8,Monthly,0
600,37,83.89,2,Annual,1
601,21,65.61,3,Monthly,0
602,14,109.37,2,Monthly,1
603,2,79.25,6,Monthly,1
604,11,110.03,2,Annual,0
605,51,91.44,2,Monthly,0
606,39,64.46,1,Annual,0
607,38,78.76,3,Monthly,0
608,34,46.53,2,Annual,0
609,38,83.81,2,Annual,0
610,50,66.28,3,Monthly,0
611,34,57.73,3,Annual,0
612,18,110.44,3,Monthly,0
613,30,100.61,1,Monthly,0
614,15,100.06,3,Monthly,0
615,27,95.64,6,Annual,0
616,51,55.3,3,Monthly,0
617,34,71.99,1,Monthly,0
618,52,73.21,1,Monthly,0
619,57,45.81,2,Monthly,0
620,38,68.86,1,Annual,0
621,33,69.08,1,Monthly,0
622,24,82.52,0,Monthly,0
623,15,130.65,1,Monthly,0
624,30,79.58,3,Annual,0
625,55,82.53,2,Annual,0
626,42,75.0,3,Monthly,0
627,51,94.75,3,Annual,1
628,17,58.52,2,Monthly,0
629,5,117.92,1,Monthly,0
630,29,77.52,1,Monthly,0
631,4,72.1,2,Annual,0
632,10,99.4,0,Monthly,0
633,56,62.18,2,Monthly,0
634,17,94.39,3,Annual,0
635,10,108.1,3,Annual,1
636,17,75.17,5,Monthly,0
637,20,121.06,2,Annual,0
638,24,92.89,2,Monthly,0
639,5,93.13,1,Monthly,1
640,34,107.32,1,Monthly,0
641,6,112.61,0,Monthly,0
642,53,85.24,3,Monthly,0
643,2,95.94,5,Monthly,1
644,13,107.93,0,Monthly,0
645,43,56.76,4,Monthly,1
646,43,45.41,3,Monthly,1
647,48,78.85,1,Monthly,0
648,11,44.93,0,Annual,1
649,51,73.72,5,Monthly,1
650,47,86.29,4,Annual,1
651,57,74.49,2,Monthly,0
652,23,77.17,3,Monthly,0
653,55,59.97,2,Monthly,0
654,16,95.76,3,Annual,0
655,31,58.73,2,Monthly,0
656,11,37.94,2,Annual,0
657,54,75.85,3,Annual,0
658,16,98.3,2,Annual,0
659,8,81.6,1,Annual,0
660,4,56.7,2,Annual,0
661,40,82.04,1,Monthly,1
662,4,88.77,1,Monthly,0
663,56,81.81,1,Monthly,0
664,25,74.71,2,Annual,0
665,3,89.72,2,Annual,0
666,32,45.23,1,Monthly,0
667,3,62.12,2,Annual,0
668,27,53.9,3,Monthly,0
669,29,106.97,3,Monthly,0
670,32,94.24,0,Monthly,0
671,50,83.7,2,Annual,0
672,58,50.99,0,Annual,1
673,51,94.88,2,Annual,0
674,19,107.73,1,Annual,1
675,21,91.43,1,Monthly,0
676,5,79.3,2,Monthly,0
677,18,92.63,0,Monthly,1
678,28,85.46,1,Annual,0
679,42,98.52,3,Monthly,0
680,22,98.07,2,Monthly,0
681,21,75.58,3,Monthly,0
682,6,66.79,2,Monthly,0
683,1,72.0,3,Monthly,0
684,5,90.72,1,Monthly,0
685,41,73.21,0,Annual,0
686,12,64.99,2,Monthly,1
687,26,79.98,2,Annual,0
688,46,102.15,2,Annual,0
689,34,82.7,2,Annual,0
690,49,74.48,3,Monthly,0
691,14,86.41,3,Monthly,0
692,26,81.68,3,Monthly,0
693,45,41.33,2,Annual,0
694,27,93.94,2,Monthly,0
695,9,88.15,2,Annual,0
696,26,80.32,1,Annual,0
697,57,101.25,2,Monthly,1
698,47,104.26,1,Monthly,0
699,57,95.98,2,Annual,0
700,22,62.99,1,Annual,0
701,47,63.69,4,Annual,0
702,56,102.35,3,Monthly,0
703,30,42.46,5,Annual,0
704,43,77.02,2,Monthly,0
705,48,88.8,4,Monthly,0
706,17,44.99,3,Monthly,0
707,26,84.69,2,Annual,0
708,36,99.09,0,Monthly,0
709,1,50.29,1,Monthly,0
710,8,113.16,0,Monthly,1
711,49,59.8,0,Annual,0
712,35,91.49,5,Monthly,0
713,52,78.33,2,Monthly,0
714,15,81.39,5,Annual,0
715,47,54.33,0,Monthly,0
716,56,105.21,1,Annual,0
717,22,86.52,3,Monthly,0
718,14,112.42,0,Monthly,0
719,26,54.85,2,Monthly,0
720,28,76.38,3,Annual,0
721,23,84.19,3,Monthly,0
722,14,81.21,3,Monthly,1
723,24,93.34,3,Annual,0
724,2,76.12,0,Annual,0
725,45,122.44,1,Monthly,0
726,26,80.8,1,Monthly,0
727,14,22.32,0,Monthly,0
728,59,81.68,2,Annual,0
729,56,105.23,3,Monthly,0
730,51,61.53,1,Annual,0
731,7,60.26,2,Monthly,0
732,3,63.19,0,Monthly,0
733,47,58.47,3,Annual,1
734,23,70.41,2,Annual,0
735,46,98.19,1,Annual,0
736,43,110.53,3,Annual,0
737,47,31.51,1,Monthly,0
738,45,72.43,2,Annual,1
739,18,86.05,2,Annual,0
740,58,84.05,1,Monthly,0
741,38,118.0,3,Monthly,0
742,35,39.79,0,Annual,0
743,51,28.22,2,Monthly,0
744,15,121.24,2,Monthly,0
745,25,95.07,3,Annual,0
746,55,68.57,1,Monthly,0
747,37,83.43,2,Annual,0
748,28,84.86,1,Monthly,0
749,10,68.09,4,Monthly,1
750,39,82.84,2,Annual,0
751,57,87.1,3,Monthly,0
752,17,120.31,1,Annual,0
753,39,99.27,1,Monthly,0
754,22,114.79,5,Annual,0
755,26,53.13,2,Annual,0
756,44,73.06,2,Monthly,0
757,25,84.84,1,Annual,0
758,17,41.58,2,Monthly,0
759,13,103.64,2,Annual,0
760,20,92.84,1,Monthly,0
761,25,72.66,3,Annual,0
762,4,76.33,1,Monthly,0
763,10,105.08,3,Annual,0
764,3,64.09,1,Monthly,0
765,41,105.88,2,Monthly,1
766,45,74.96,0,Monthly,0
767,18,95.12,2,Monthly,0
768,47,81.74,4,Monthly,0
769,36,124.66,0,Monthly,0
770,47,62.25,1,Annual,0
771,22,68.53,3,Monthly,0
772,34,49.88,1,Monthly,1
773,47,58.06,4,Annual,0
774,8,94.26,0,Monthly,0
775,40,112.0,2,Monthly,1
776,49,96.53,2,Annual,0
777,44,79.89,1,Monthly,0
778,19,62.13,1,Monthly,1
779,42,97.97,4,Monthly,0
780,41,61.03,3,Monthly,1
781,37,53.02,4,Monthly,0
782,6,73.83,1,Monthly,0
783,52,39.32,3,Annual,0
784,26,52.37,2,Annual,0
785,34,117.72,1,Monthly,0
786,59,48.66,2,Monthly,0
787,56,56.24,0,Monthly,0
788,59,81.44,2,Monthly,0
789,45,82.48,3,Annual,1
790,6,75.31,2,Monthly,0
791,37,39.93,3,Annual,0
792,57,96.97,0,Monthly,0
793,33,71.14,3,Annual,0
794,53,104.41,2,Annual,0
795,22,67.1,2,Monthly,0
796,21,99.65,3,Monthly,0
797,6,105.92,1,Monthly,0
798,6,70.66,6,Monthly,1
799,55,97.61,0,Monthly,1
800,48,53.43,2,Monthly,0
801,4,85.27,2,Annual,0
802,30,104.44,1,Monthly,1
803,11,90.37,1,Monthly,0
804,30,128.12,1,Annual,0
805,31,91.49,3,Monthly,0
806,24,72.69,0,Annual,0
807,55,136.82,5,Monthly,0
808,9,112.67,0,Monthly,0
809,55,47.94,2,Monthly,1
810,3,64.32,1,Monthly,0
811,51,59.24,0,Monthly,0
812,31,92.91,3,Monthly,0
813,40,91.42,1,Monthly,0
814,37,91.27,1,Monthly,0
815,36,47.4,2,Monthly,0
816,24,67.24,2,Annual,0
817,31,77.01,1,Annual,0
818,6,43.56,2,Annual,0
819,2,62.56,3,Monthly,0
820,20,107.13,0,Annual,1
821,28,48.92,2,Monthly,1
822,11,109.11,2,Monthly,0
823,4,101.82,1,Annual,0
824,15,74.19,1,Monthly,0
825,6,67.02,1,Monthly,0
826,54,96.64,2,Monthly,0
827,49,64.25,3,Annual,0
828,30,65.24,0,Monthly,0
829,56,79.52,2,Monthly,0
830,38,37.4,4,Annual,0
831,51,51.0,0,Monthly,1
832,57,73.69,2,Monthly,0
833,2,89.51,3,Monthly,0
834,15,63.97,2,Monthly,0
835,11,76.05,5,Monthly,1
836,8,47.73,1,Annual,1
837,26,98.65,4,Monthly,0
838,51,84.4,5,Annual,1
